"","race_ethnicity","year","pain_or_disability","number_of_beneficiaries","counselling_prop","counselling_se","physical_therapy_prop","physical_therapy_se","acupuncture_prop","acupuncture_se","chiropractic_prop","chiropractic_se","nonopioid_pain_prop","nonopioid_pain_se","multimodal_treatment_prop","multimodal_treatment_se"
"1","multi_or_na",2016,"disability only",5745,0.0483899042645779,0.00283114351756158,0.0323759791122715,0.00233517675864866,0.000174064403829417,0.000174049253961785,0.0031331592689295,0.000737334906591171,0.237946040034813,0.00561806922699095,0.053437771975631,0.00296724727604552
"2","multi_or_na",2016,"chronic pain only",20774,0.088331568306537,0.00196886693436837,0.310965630114566,0.00321156395162928,0.0053432174833927,0.000505799023217556,0.0554539328006162,0.00158788002075531,0.75647443920285,0.00297789473194443,0.353711369981708,0.0033172461927378
"3","multi_or_na",2016,"neither",351114,0.025265298450076,0.000264838644852765,0.0163365744459065,0.000213933938601646,0.000270567394065745,2.77558732298694e-05,0.00320408756130488,9.53742726556042e-05,0.200385060122923,0.000675536852877232,0.027230472154343,0.000274668269628256
"4","multi_or_na",2016,"disability and chronic pain",888,0.157657657657658,0.0122291245478452,0.353603603603604,0.0160435813806,0.00225225225225225,0.00159078838040176,0.0304054054054054,0.0057618773458856,0.846846846846847,0.0120853414686911,0.442567567567568,0.0166678439574588
"5","multi_or_na",2017,"disability only",6281,0.0622512338799554,0.00304861678188942,0.0331157459003343,0.00225782417045344,0.000477630950485591,0.000275694494129668,0.0020697341187709,0.000573446597123903,0.269065435440217,0.00559569208622411,0.065117019582869,0.00311323201122655
"6","multi_or_na",2017,"chronic pain only",19923,0.0920042162324951,0.00204770982224877,0.333383526577323,0.0033398942918377,0.00692666767053155,0.000587591450387996,0.0646990915022838,0.00174279940027218,0.736385082567886,0.00312147682429205,0.372534256889023,0.00342531684362972
"7","multi_or_na",2017,"neither",342587,0.027966618698316,0.000281692400618633,0.0176655856760473,0.000225065154119601,0.000309410456322044,3.00479505350513e-05,0.00405736353101548,0.00010860596621551,0.195019075446529,0.000676933335919341,0.0289006880004203,0.000286220327632607
"8","multi_or_na",2017,"disability and chronic pain",976,0.190573770491803,0.0125717371224083,0.368852459016393,0.0154442520242343,0.00204918032786885,0.00144750392417597,0.0348360655737705,0.00586935236997584,0.868852459016393,0.0108050849196316,0.489754098360656,0.0160012493588679
"9","multi_or_na",2018,"disability only",4149,0.0503735839961436,0.00339551850565962,0.0354302241503977,0.00287000106096031,0.000482043865991805,0.00034077432268011,0.00337430706194264,0.000900298698965766,0.259098577970595,0.00680206866128529,0.0551940226560617,0.00354523985100215
"10","multi_or_na",2018,"chronic pain only",15012,0.102717825739408,0.00247781085443331,0.346722621902478,0.00388437026535189,0.008792965627498,0.000761957235765106,0.0558220090594191,0.0018737445812938,0.727551292299494,0.00363374884295348,0.384692246203038,0.00397085137794831
"11","multi_or_na",2018,"neither",259869,0.0296149213642258,0.000332544760232575,0.0187709961557554,0.000266226701408081,0.000346328342357111,3.64998905551453e-05,0.00338247347702111,0.000113894885548835,0.19570629817331,0.000778273955831113,0.0303152742343258,0.000336332465097756
"12","multi_or_na",2018,"disability and chronic pain",649,0.172573189522342,0.0148330038341308,0.348228043143297,0.0187006782468024,0.00154083204930663,0.00153964450997853,0.024653312788906,0.00608688085791791,0.87211093990755,0.0131093215639152,0.4884437596302,0.0196214739330239
"13","multi_or_na",2019,"disability only",2308,0.0563258232235702,0.00479895753690001,0.035528596187175,0.00385314896543104,0.000866551126516464,0.000612478633186397,0.00389948006932409,0.00129728989017404,0.257798960138648,0.00910507353496707,0.0628249566724437,0.00505078118653528
"14","multi_or_na",2019,"chronic pain only",5723,0.0952297745937445,0.00388010658204004,0.35103966451162,0.0063092145938343,0.0078630089114101,0.00116753076193948,0.053817927660318,0.00298290189384624,0.724619954569282,0.00590485864219968,0.384064301939542,0.00642921258041757
"15","multi_or_na",2019,"neither",140388,0.0268612701940337,0.000431504826561671,0.018648317520016,0.00036104985073038,0.000448756303957603,5.65252926672998e-05,0.00326238709861242,0.000152192473533145,0.177679003903468,0.00102017282663287,0.0285352024389549,0.000444364155472956
"16","multi_or_na",2019,"disability and chronic pain",268,0.171641791044776,0.0230331434309861,0.350746268656716,0.0291498523894849,0,0,0.0261194029850746,0.00974242525752315,0.854477611940298,0.0215401068673037,0.447761194029851,0.0303752100386334
"17","White, non-Hispanic",2016,"disability only",13911,0.104952914959385,0.00259860948036931,0.0437064193803465,0.0017333611532074,0.000287542232765437,0.000143750444762715,0.00812306807562361,0.000761043999569406,0.416504924160736,0.00417974216632992,0.117964200992021,0.00273488485322522
"18","White, non-Hispanic",2016,"chronic pain only",60414,0.12040255569901,0.00132400930269789,0.314281457940213,0.00188870239269244,0.00786241599629225,0.000359331395869276,0.0987519449134307,0.00121374150566216,0.791621147416162,0.00165240583259153,0.409772569272023,0.00200083990517816
"19","White, non-Hispanic",2016,"neither",648483,0.0446148935284348,0.000256377475064908,0.022580391467471,0.000184483257845826,0.000579814736855091,2.98929919552684e-05,0.00920455894757457,0.000118588941789296,0.271933111585038,0.000552544663020305,0.0471407885788833,0.000263186429439282
"20","White, non-Hispanic",2016,"disability and chronic pain",5122,0.227254978524014,0.00585537917634067,0.322725497852401,0.00653249694818452,0.000976181179226864,0.000436348361436979,0.0601327606403749,0.00332176603416563,0.886762983209684,0.00442770013315074,0.501171417415072,0.00698632886819091
"21","White, non-Hispanic",2017,"disability only",7561,0.0835868271392673,0.00318291442693344,0.0460256579817484,0.00240978740949484,0.00052903055151435,0.000264445298169771,0.00489353260150774,0.000802520986576515,0.384472953313054,0.00559457175322143,0.0949609839968258,0.00337144931477591
"22","White, non-Hispanic",2017,"chronic pain only",45520,0.13481985940246,0.00160077052591906,0.346858523725835,0.00223089274297989,0.0108743409490334,0.000486100513817192,0.0970782073813708,0.00138766557644227,0.779415641476274,0.0019434384405699,0.438005272407733,0.00232543745412521
"23","White, non-Hispanic",2017,"neither",501823,0.0482301528626627,0.000302447506897194,0.0246481329074195,0.000218875621453971,0.000743289964788382,3.84717897042306e-05,0.0079011922530454,0.00012498229560408,0.262999105262214,0.000621492456759589,0.0499737955414559,0.000307583956398057
"24","White, non-Hispanic",2017,"disability and chronic pain",2293,0.191016136066289,0.00820923957526498,0.343654600959442,0.00991802678011161,0.00479720889664195,0.00144293936138346,0.0322721325774095,0.00369052735606436,0.877889228085478,0.00683746035185721,0.4875708678587,0.0104383956246143
"25","White, non-Hispanic",2018,"disability only",5596,0.088277340957827,0.00379242624041652,0.0571837026447462,0.00310392217686244,0.000178699070764832,0.000178683103372514,0.00482487491065046,0.000926304837913795,0.39313795568263,0.0065294803985656,0.107576840600429,0.0041419605286054
"26","White, non-Hispanic",2018,"chronic pain only",35546,0.14735835255725,0.0018800754632478,0.372221909638215,0.00256394482715116,0.0126033871602993,0.000591689805922822,0.0937658245653519,0.00154613402758043,0.776908794238452,0.00220816171508,0.4599954987903,0.00264350485689011
"27","White, non-Hispanic",2018,"neither",378366,0.0587209210129874,0.00038220783057352,0.026865521743497,0.000262862126970859,0.000724166547734205,4.37326576043449e-05,0.0085393507873329,0.000149587090862177,0.271736889678248,0.00072320663852054,0.0571457266244853,0.000377361956273866
"28","White, non-Hispanic",2018,"disability and chronic pain",1553,0.209272376046362,0.0103224712105816,0.373470701867353,0.0122747663284717,0.00901481004507405,0.00239842500973415,0.042498390212492,0.00511882483607394,0.87894397939472,0.00827728800802925,0.534449452672247,0.0126575896264532
"29","White, non-Hispanic",2019,"disability only",2681,0.082431928384931,0.00531151569875819,0.0507273405445729,0.00423807000870385,0.00149198060425214,0.000745433592867842,0.00634091756807161,0.00153301480823337,0.364043267437523,0.00929269920085113,0.0973517344274524,0.00572509523859804
"30","White, non-Hispanic",2019,"chronic pain only",12589,0.150210501231234,0.00318427238764836,0.377392962109778,0.00432024418647692,0.0135832869965843,0.0010316610462425,0.10421796806736,0.00272318318920452,0.759551989832393,0.00380884877404717,0.467074430057987,0.00444662708146523
